Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,ABITest.java,,,,,,,1,1,1,1,18,1,16,0,,,,1,0,6,,,,12,12,0,,,,12,,,0,,0,0,12,,338,44,,,,271,94,226,,,23,,,,,,,,,,,,103,116,64,,,,52,,,,,,,,3,3,3,1,,,1,,,0.08,14,14,14,12
File,ALock.java,,,,,,,1,1,1,1,3,0,3,0,,,,1,0,0,,,,3,3,1,,,,3,,,0,,0,0,3,,46,5,,,,15,7,4,,,26,,,,,,,,,,,,7,11,7,,,,4,,,,,,,,1,1,1,1,,,0,,,1.73,3,3,3,3
File,Abi.java,,,,,,,2,2,2,1,6,0,5,0,,,,10,4,2,,,,32,30,14,,,,34,,,0,,3,0,31,,324,55,,,,251,107,113,,,18,,,,,,,,,,,,116,173,96,,,,77,,,,,,,,6,6,6,1,,,2,,,0.07,54,52,56,34
File,AbiTest.java,,,,,,,1,1,1,1,18,2,16,0,,,,1,0,0,,,,2,2,0,,,,2,,,0,,0,0,2,,70,10,,,,43,20,28,,,17,,,,,,,,,,,,24,27,16,,,,11,,,,,,,,1,1,1,1,,,0,,,0.40,2,2,2,2
File,AbstractBlockstore.java,,,,,,,3,3,3,1,10,0,10,0,,,,1,0,0,,,,1,1,0,,,,1,,,0,,0,0,1,,38,3,,,,15,6,6,,,20,,,,,,,,,,,,6,10,5,,,,5,,,,,,,,3,3,3,1,,,1,,,1.33,3,3,3,1
File,AbstractCachedSource.java,,,,,,,1,1,1,1,6,0,4,2,,,,3,0,0,,,,10,10,5,,,,10,,,2,,0,3,5,,119,12,,,,59,22,21,,,48,,,,,,,,,,,,20,38,19,,,,19,,,,,,,,3,3,3,1,,,1,,,0.81,14,14,14,10
File,AbstractChainedSource.java,,,,,,,1,1,1,1,5,0,3,2,,,,1,0,0,,,,7,7,2,,,,7,,,0,,0,3,4,,75,9,,,,28,13,8,,,38,,,,,,,,,,,,11,19,12,,,,7,,,,,,,,2,2,2,1,,,1,,,1.36,8,8,8,7
File,AbstractConfig.java,,,,,,,1,1,1,1,3,0,3,0,,,,1,0,1,,,,20,20,3,,,,20,,,0,,0,2,18,,168,32,,,,113,69,32,,,23,,,,,,,,,,,,53,76,52,,,,24,,,,,,,,2,2,2,1,,,1,,,0.20,23,23,23,20
File,AbstractContractDetails.java,,,,,,,1,1,1,1,3,0,3,0,,,,1,0,0,,,,12,12,3,,,,12,,,0,,0,3,9,,103,18,,,,63,35,21,,,22,,,,,,,,,,,,30,44,27,,,,17,,,,,,,,3,3,3,1,,,1,,,0.35,17,17,17,12
File,AbstractCryptoTest.java,,,,,,,2,2,2,1,17,1,9,7,,,,1,1,0,,,,2,1,0,,,,2,,,0,,1,1,0,,91,7,,,,23,9,13,,,61,,,,,,,,,,,,17,21,10,,,,11,,,,,,,,2,2,2,1,,,1,,,2.65,3,3,3,2
File,AbstractDaoConfig.java,,,,,,,1,1,2,1,6,0,5,0,,,,1,0,2,,,,5,5,4,,,,5,,,0,,0,1,4,,94,14,,,,51,30,17,,,29,,,,,,,,,,,,30,38,26,,,,12,,,,,,,,3,3,4,3,,,2,,,0.57,7,7,8,7
File,AbstractValidationRule.java,,,,,,,1,1,1,1,1,0,1,0,,,,1,0,0,,,,1,1,0,,,,1,,,0,,0,0,1,,29,2,,,,4,3,0,,,23,,,,,,,,,,,,2,3,3,,,,0,,,,,,,,1,1,1,1,,,0,,,5.75,1,1,1,1
File,Account.java,,,,,,,1,1,1,1,5,0,4,0,,,,1,0,0,,,,11,11,4,,,,11,,,0,,0,0,11,,120,26,,,,73,33,23,,,21,,,,,,,,,,,,30,50,29,,,,21,,,,,,,,5,5,5,1,,,3,,,0.29,15,15,15,11
File,AccountBuilder.java,,,,,,,1,1,1,1,7,1,6,0,,,,2,2,0,,,,5,3,2,,,,5,,,0,,1,0,4,,86,21,,,,48,27,20,,,17,,,,,,,,,,,,28,37,27,,,,10,,,,,,,,2,2,2,1,,,1,,,0.35,6,6,6,5
File,AccountState.java,,,,,,,2,2,2,1,13,2,10,0,,,,1,0,0,,,,10,10,5,,,,10,,,0,,0,0,10,,193,45,,,,126,60,77,,,22,,,,,,,,,,,,70,93,56,,,,37,,,,,,,,9,9,9,4,,,2,,,0.17,20,20,21,13
File,AccountState.java,,,,,,,1,1,2,1,4,0,4,0,,,,1,0,0,,,,16,16,5,,,,16,,,0,,0,0,16,,153,28,,,,88,39,38,,,37,,,,,,,,,,,,45,63,38,,,,25,,,,,,,,3,3,5,1,,,1,,,0.42,21,21,25,16
File,AccountStateTest.java,,,,,,,1,1,1,1,8,0,8,0,,,,1,0,0,,,,1,1,0,,,,1,,,0,,0,0,1,,40,7,,,,16,11,6,,,17,,,,,,,,,,,,8,10,9,,,,1,,,,,,,,1,1,1,1,,,0,,,1.06,1,1,1,1
File,AccountTck.java,,,,,,,1,1,1,1,3,0,3,0,,,,1,0,0,,,,12,12,5,,,,12,,,0,,0,0,12,,88,17,,,,50,21,17,,,21,,,,,,,,,,,,18,31,20,,,,11,,,,,,,,1,1,1,1,,,0,,,0.42,12,12,12,12
File,AccountValidator.java,,,,,,,12,12,14,6,91,20,69,2,,,,1,1,0,,,,1,0,0,,,,1,,,0,,0,0,1,,122,25,,,,78,35,55,,,19,,,,,,,,,,,,39,55,29,,,,26,,,,,,,,12,12,14,6,,,2,,,0.24,12,12,14,6
File,AdaptiveMessageIdsTest.java,,,,,,,1,1,1,1,15,3,12,0,,,,1,0,0,,,,6,6,1,,,,6,,,0,,0,0,6,,152,31,,,,100,32,65,,,22,,,,,,,,,,,,76,83,24,,,,59,,,,,,,,1,1,1,1,,,0,,,0.22,6,6,6,6
File,AdminInfo.java,,,,,,,1,1,1,1,4,0,4,0,,,,1,0,1,,,,7,7,3,,,,7,,,0,,0,0,7,,79,15,,,,43,21,16,,,21,,,,,,,,,,,,23,34,20,,,,14,,,,,,,,3,3,3,1,,,1,,,0.49,10,10,10,7
