Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"""date-pre"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,2,1,,,,,,,,,,0,,,,,,,,
Function,""date-pre"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,2,1,,,,,,,,,,0,,,,,,,,
Function,""date-pre"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,2,1,,,,,,,,,,0,,,,,,,,
Function,""html-num"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,""html-num"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,""html-num"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,""html-num-fmt"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,""html-num-fmt"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,""html-num-fmt"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,""html-pre"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,3,3,3,1,,,,,,,,,,0,,,,,,,,
Function,""html-pre"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,3,3,3,1,,,,,,,,,,0,,,,,,,,
Function,""html-pre"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,3,3,3,1,,,,,,,,,,0,,,,,,,,
Function,""num-fmt"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,""num-fmt"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,""num-fmt"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,""string-asc"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,3,3,3,1,,,,,,,,,,0,,,,,,,,
Function,""string-asc"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,3,3,3,1,,,,,,,,,,0,,,,,,,,
Function,""string-asc"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,3,3,3,1,,,,,,,,,,0,,,,,,,,
Function,""string-desc"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,3,3,3,1,,,,,,,,,,0,,,,,,,,
Function,""string-desc"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,0,,2,,,2,,0,,0,,,,2,,,,,1,0,,,1,1,,,1,1,,3,3,3,1,,,,,,,,,,0,,,,,,,,
Function,""string-desc"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,3,3,3,1,,,,,,,,,,0,,,,,,,,
Function,""string-pre"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,4,4,4,1,,,,,,,,,,0,,,,,,,,
Function,""string-pre"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,4,4,4,1,,,,,,,,,,0,,,,,,,,
Function,""string-pre"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,1,1,,4,4,4,1,,,,,,,,,,0,,,,,,,,
Function,""$.event.special.bsTransitionEnd.handle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,0,,3,,,3,,0,,0,,,,3,,,,,2,0,,,1,1,,,2,2,,2,2,2,1,,,,,,,,,,1,,,,,,,
Function,$.fn.affix.noConflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,,4,,,4,,0,,0,,,,4,,,,,1,0,,,1,1,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.alert.noConflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,,4,,,4,,0,,0,,,,4,,,,,1,0,,,1,1,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.bootstrapFileInput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,20,,20,,60,,,60,,23,,23,,,,103,,,,,1,0,,,11,11,,,32,32,,1,1,1,1,,,,,,,,,,0,,,,,,,
Unnamed Function,$.fn.bootstrapFileInput.(unnamed_function_2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,7,,7,,15,,,15,,4,,4,,,,26,,,,,5,1,,,4,4,,,7,7,,4,4,4,1,,,,,,,,,,1,,,,,,,
Unnamed Function,$.fn.bootstrapFileInput.(unnamed_function_3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,,10,,43,,,43,,17,,17,,,,70,,,,,1,0,,,6,6,,,24,24,,1,1,1,1,,,,,,,,,,0,,,,,,,
Unnamed Function,$.fn.bootstrapFileInput.(unnamed_function_3).(unnamed_function_4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,,4,,20,,,20,,11,,11,,,,35,,,,,1,0,,,2,2,,,11,11,,1,1,1,1,,,,,,,,,,0,,,,,,,
Unnamed Function,$.fn.bootstrapFileInput.(unnamed_function_3).(unnamed_function_5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4,,4,,21,,,21,,4,,4,,,,29,,,,,6,1,,,3,3,,,11,11,,4,4,5,1,,,,,,,,,,1,,,,,,,
Function,$.fn.button.noConflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,,4,,,4,,0,,0,,,,4,,,,,1,0,,,1,1,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.carousel.noConflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,,4,,,4,,0,,0,,,,4,,,,,1,0,,,1,1,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,
