Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,ABI.cpp,1,43,0,6,91,19,9,9,9,1,44,1,43,0,,,,0,,,,,,2,,,,,,,,,,,,,,,116,6,,,,88,22,54,,,19,,,,,0,,,3,,,,55,77,21,,,3,53,,,,,,,,12,12,12,1,,,4,,,0.22,18,18,18,2
File,ABI.h,0,0,0,6,24,26,0,0,0,0,0,0,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,,56,6,,,,20,15,1,,,26,,,,,0,,,4,,,,6,10,9,,,0,1,,,,,,,,0,0,0,0,,,0,,,1.30,0,0,0,0
File,ABI.h,0,3,0,11,69,20,1,1,1,1,3,0,3,0,,,,0,,,,,,16,,,,,,,,,,,,,,,100,11,,,,64,31,26,,,20,,,,,0,,,5,,,,55,80,46,,,0,34,,,,,,,,3,3,3,1,,,1,,,0.31,18,18,18,16
Struct Template,ABIDeserialiser,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,,1,0,,,,,0,0,0,0,0,1,1,0,,0,0,0,1,,1,0,,,,1,1,1,,,0,,,,,0,,,0,,,,,4,2,,,0,2,,,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Struct Template,ABIDeserialiser,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,,1,0,,,,,0,0,0,0,0,1,1,0,,0,0,0,1,,1,0,,,,1,1,1,,,0,,,,,0,,,0,,,,,4,2,,,0,2,,,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Struct Template,ABIDeserialiser,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,,1,0,,,,,0,0,0,0,0,1,1,0,,0,0,0,1,,1,0,,,,1,1,1,,,0,,,,,0,,,0,,,,,5,2,,,0,3,,,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Struct Template,ABIDeserialiser,0,10,0,0,13,0,1,1,1,1,10,0,10,0,0,1,0,,1,0,,,,,0,0,0,0,0,1,1,0,,0,0,0,1,,13,0,,,,13,5,6,,,0,,,,,0,,,0,,,,,8,4,,,0,4,,,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Public Static Function,ABIDeserialiser::deserialise,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,,,,10,4,6,,,0,,,,,0,,,0,6,1,0,7,7,3,,,0,4,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Static Function,ABIDeserialiser::deserialise,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,1,1,1,,,0,,,,,0,,,0,5,1,0,4,4,1,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Static Function,ABIDeserialiser::deserialise,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,1,1,1,,,0,,,,,0,,,0,3,1,0,3,3,1,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
